machine,booked_h,n_lots
""" 0301""",64.8025,11
"""1001""",20.8494,35
"""1002""",30.089172413788056,35
"""1101""",20.592,65
"""1103""",34.32,67
"""1201""",51.47999999999889,7
"""201""",67.70305555555555,11
"""202""",64.83444444444417,12
"""3403""",102.77626666666667,113
"""3404""",102.41746666666667,113
"""3405""",102.69653333333333,112
"""3410""",102.57693333333333,112
"""601""",8.158449523808889,67
"""701""",0.5666666666666667,34
"""702""",0.55,33
"""801""",68.64,134
"""901""",11.379181310051111,197
270M,12.971333333333055,77
310,15.955833333333333,118
430-1,13.297999999999723,56
430-1M,3.0643333333333334,8
430-2,14.077166666665,61
440M,1.9625,24
F270,16.769666666666666,151
